Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EVG,PPG,SHG,GWG,EVA,PPA,SHA,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,pid,Year,YR_INT
Brent Burns,35,SJS,D,9,3,3,6,-4,8,1.0,2,1,0,1,2,1,0,30,10.0,248,12,8,0,0,,burnsbr01,2020-2021,2021
Bowen Byram,19,COL,D,8,0,1,1,1,8,0.4,0,0,0,0,1,0,0,15,0.0,140,4,2,0,0,,byrambo01,2020-2021,2021
Paul Byron,31,MTL,LW,11,0,3,3,2,2,0.1,0,0,0,0,3,0,0,10,0.0,137,2,16,0,3,0.0,byronpa01,2020-2021,2021
Nicholas Caamano,22,DAL,RW,8,0,0,0,-4,2,-0.3,0,0,0,0,0,0,0,13,0.0,70,2,11,0,0,,caamani01,2020-2021,2021
Drake Caggiula,26,ARI,LW,10,0,5,5,1,10,0.3,0,0,0,0,5,0,0,16,0.0,136,3,19,2,4,33.3,caggidr01,2020-2021,2021
Matt Calvert,31,COL,LW,6,0,1,1,-1,0,-0.1,0,0,0,0,1,0,0,7,0.0,89,3,7,0,1,0.0,calvema01,2020-2021,2021
Kyle Capobianco,23,ARI,D,2,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,3,0.0,29,2,1,0,0,,capobky01,2020-2021,2021
Brandon Carlo,24,BOS,D,11,2,1,3,5,6,1.3,2,0,0,1,1,0,0,12,16.7,210,15,10,0,0,,carlobr01,2020-2021,2021
John Carlson,31,WSH,D,11,4,7,11,-5,2,1.2,1,3,0,1,5,2,0,32,12.5,271,14,14,0,0,,carlsjo01,2020-2021,2021
Lucas Carlsson,23,CHI,D,4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,3,0.0,45,2,0,0,0,,carlslu01,2020-2021,2021
Ryan Carpenter,30,CHI,C,9,1,0,1,0,6,0.0,1,0,0,0,0,0,0,20,5.0,119,4,17,5,9,35.7,carpery01,2020-2021,2021
Daniel Carr,29,WSH,LW,2,0,1,1,1,0,0.1,0,0,0,0,1,0,0,3,0.0,21,4,2,0,0,,carrda01,2020-2021,2021
