pid,Player,info
ahacla01,Layton Ahac,"['Position: D\xa0•\xa0    Shoots: Left\n', '6-2,\xa0190lb\xa0(188cm,\xa086kg) ', ' Born:  February 22,\xa02001   in\xa0Vancouver,\xa0British Columbia  ca ', 'Draft: Vegas, 3rd round (86th\xa0overall), 2019\xa0NHL\xa0Entry ']"
ahearke01,Kevin Ahearn,"['Position: LW\xa0•\xa0    Shoots: Left\n', '5-10,\xa0160lb\xa0(178cm,\xa072kg) ', ' Born:  June 20,\xa01948   in\xa0Milton,\xa0Massachusetts  us ', 'Amateur Teams: Boston\xa0College ']"
ahernfr01,Fred Ahern,"['Position: RW\xa0•\xa0    Shoots: Right\n', '6-0,\xa0180lb\xa0(183cm,\xa081kg) ', ' Born:  February 12,\xa01952   in\xa0Boston,\xa0Massachusetts  us ', 'Amateur Teams: Bowdoin\xa0College ']"
ahlfi01,Filip Ahl,"['Position: LW\xa0•\xa0    Shoots: Left\n', '6-3,\xa0211lb\xa0(190cm,\xa095kg) ', ' Born:  June 12,\xa01997   in\xa0Jonkoping,\xa0Sweden  se ', 'Draft: Ottawa, 4th round (109th\xa0overall), 2015\xa0NHL\xa0Entry ', 'Pronunciation: \\FIHL-ihp AHL\\']"
ahlinru01,Rudy Ahlin,"['Position: LW\xa0•\xa0    Shoots: Left\n', '5-11,\xa0176lb\xa0(180cm,\xa079kg) ', ' Born:  December 13,\xa01908   in\xa0Eveleth,\xa0Minnesota  us ', 'Died: May\xa06,\xa01976  ']"
ahneljo01,Jonas Ahnelov,"['Position: LW\n', ' Born:  December 11,\xa01987   ', 'Draft: Phoenix, 3rd round (88th\xa0overall), 2006\xa0NHL\xa0Entry ']"
ahose01,Sebastian Aho,"['Position: F\xa0•\xa0    Shoots: Left\n', '6-0,\xa0173lb\xa0(183cm,\xa078kg) ', 'Team: Carolina Hurricanes', ' Born:  July 26,\xa01997   in\xa0Rauma,\xa0Finland  fi ', 'Draft: Carolina, 2nd round (35th\xa0overall), 2015\xa0NHL\xa0Entry ', 'Current salary: $10,570,000', 'Current cap hit: $8,460,250', ""Pronunciation: \\seh-BAS-t'yehn AH-hoh\\"", 'Twitter:\n@SebastianAho']"
ahose02,Sebastian Aho,"['Position: D\xa0•\xa0    Shoots: Left\n', '5-10,\xa0184lb\xa0(178cm,\xa083kg) ', 'Team: New York Islanders', ' Born:  February 17,\xa01996   in\xa0Umea,\xa0Sweden  se ', 'Draft: NY Islanders, 5th round (139th\xa0overall), 2017\xa0NHL\xa0Entry ', ""Pronunciation: \\seh-BAS-t'yehn AH-hoh\\""]"
ahokase01,Seppo Ahokainen,"['\n', '  ']"
aholape01,Peter Ahola,"['Position: D\xa0•\xa0    Shoots: Left\n', '6-3,\xa0205lb\xa0(190cm,\xa092kg) ', ' Born:  May 14,\xa01968   in\xa0Espoo,\xa0Finland  fi ', 'Amateur Teams: Boston\xa0University ']"
