Team,Name,Age,Pos,Birthplace,Nat.,YR_INT,pid
Minnesota Wild,Mikko Koivu,26.0,C,Turku,FI,2010,koivumi01
Montreal Canadiens,No Captain,,,,,2010,
Nashville Predators,Jason Arnott,35.0,C,"Collingwood, ON",CA,2010,arnotja01
New Jersey Devils,Jamie Langenbrunner,34.0,RW,"Cloquet, MN",US,2010,langeja01
New York Islanders,Doug Weight,39.0,C,"Warren, MI",US,2010,weighdo01
New York Rangers,Chris Drury,33.0,C,"Trumbull, CT",US,2010,drurych01
Ottawa Senators,Daniel Alfredsson,37.0,RW,Gothenburg,SE,2010,alfreda01
Philadelphia Flyers,Mike Richards,24.0,C,"Kenora, ON",CA,2010,richami02
Phoenix Coyotes,Shane Doan,33.0,RW,"Halkirk, AB",CA,2010,doansh01
Pittsburgh Penguins,Sidney Crosby,22.0,C,"Cole Harbour, NS",CA,2010,crosbsi01
San Jose Sharks,Rob Blake,40.0,D,"Simcoe, ON",CA,2010,blakero01
St. Louis Blues,Eric Brewer,30.0,D,"Vernon, BC",CA,2010,breweer01
Tampa Bay Lightning,Vincent Lecavalier,29.0,C,"Ile Bizard, QC",CA,2010,lecavvi01
Toronto Maple Leafs,No Captain,,,,,2010,
Vancouver Canucks,Roberto Luongo,30.0,G,"Montreal, QC",CA,2010,luongro01
Washington Capitals,Chris Clark,33.0,RW,"South Windsor, CT",US,2010,clarkch01
Washington Capitals,Alex Ovechkin,24.0,LW,Moscow,SU,2010,ovechal01
Anaheim Ducks,Scott Niedermayer,35.0,D,"Edmonton, AB",CA,2009,niedesc01
Atlanta Thrashers,Ilya Kovalchuk,25.0,LW,Tver,SU,2009,kovalil01
Boston Bruins,Zdeno Chara,31.0,D,Trencin,CS,2009,charazd01
Buffalo Sabres,Craig Rivet,34.0,D,"North Bay, ON",CA,2009,rivetcr01
Calgary Flames,Jarome Iginla,31.0,RW,"Edmonton, AB",CA,2009,iginlja01
Carolina Hurricanes,Rod Brind'Amour,38.0,C,"Ottawa, ON",CA,2009,brindro01
Chicago Blackhawks,Jonathan Toews,20.0,C,"Winnipeg, MB",CA,2009,toewsjo01
Colorado Avalanche,Joe Sakic,39.0,C,"Burnaby, BC",CA,2009,sakicjo01
Columbus Blue Jackets,Rick Nash,24.0,LW,"Brampton, ON",CA,2009,nashri01
Dallas Stars,Brenden Morrow,30.0,LW,"Carlyle, SK",CA,2009,morrobr01
Detroit Red Wings,Nicklas Lidstrom,38.0,D,Vasteras,SE,2009,lidstni01
Edmonton Oilers,Ethan Moreau,33.0,LW,"Huntsville, ON",CA,2009,moreaet01
Florida Panthers,No Captain,,,,,2009,
Los Angeles Kings,Dustin Brown,24.0,RW,"Ithaca, NY",US,2009,browndu01
Minnesota Wild,Mikko Koivu,25.0,C,Turku,FI,2009,koivumi01
Minnesota Wild,Owen Nolan,36.0,RW,Belfast,GB,2009,nolanow01
Montreal Canadiens,Saku Koivu,34.0,C,Turku,FI,2009,koivusa01
Nashville Predators,Jason Arnott,34.0,C,"Collingwood, ON",CA,2009,arnotja01
New Jersey Devils,Jamie Langenbrunner,33.0,RW,"Cloquet, MN",US,2009,langeja01
New York Islanders,Bill Guerin,38.0,RW,"Worcester, MA",US,2009,gueribi01
New York Rangers,Chris Drury,32.0,C,"Trumbull, CT",US,2009,drurych01
Ottawa Senators,Daniel Alfredsson,36.0,RW,Gothenburg,SE,2009,alfreda01
Philadelphia Flyers,Mike Richards,23.0,C,"Kenora, ON",CA,2009,richami02
Phoenix Coyotes,Shane Doan,32.0,RW,"Halkirk, AB",CA,2009,doansh01
Pittsburgh Penguins,Sidney Crosby,21.0,C,"Cole Harbour, NS",CA,2009,crosbsi01
San Jose Sharks,Patrick Marleau,29.0,C,"Aneroid, SK",CA,2009,marlepa01
St. Louis Blues,Eric Brewer,29.0,D,"Vernon, BC",CA,2009,breweer01
Tampa Bay Lightning,Vincent Lecavalier,28.0,C,"Ile Bizard, QC",CA,2009,lecavvi01
Toronto Maple Leafs,No Captain,,,,,2009,
Vancouver Canucks,Roberto Luongo,29.0,G,"Montreal, QC",CA,2009,luongro01
Washington Capitals,Chris Clark,32.0,RW,"South Windsor, CT",US,2009,clarkch01
Anaheim Ducks,Chris Pronger,33.0,D,"Dryden, ON",CA,2008,prongch01
Atlanta Thrashers,Bobby Holik,37.0,C,Jihlava,CS,2008,holikbo01
Boston Bruins,Zdeno Chara,30.0,D,Trencin,CS,2008,charazd01
Buffalo Sabres,Brian Campbell,28.0,D,"Strathroy, ON",CA,2008,campbbr02
Buffalo Sabres,Jochen Hecht,30.0,LW,Mannheim,DE,2008,hechtjo01
Buffalo Sabres,Toni Lydman,30.0,D,Lahti,FI,2008,lydmato01
Buffalo Sabres,Jason Pominville,25.0,RW,"Repentigny, QC",CA,2008,pominja01
Buffalo Sabres,Jaroslav Spacek,33.0,D,Rokycany,CS,2008,spaceja01
Calgary Flames,Jarome Iginla,30.0,RW,"Edmonton, AB",CA,2008,iginlja01
Carolina Hurricanes,Rod Brind'Amour,37.0,C,"Ottawa, ON",CA,2008,brindro01
Chicago Blackhawks,No Captain,,,,,2008,
Colorado Avalanche,Joe Sakic,38.0,C,"Burnaby, BC",CA,2008,sakicjo01
Columbus Blue Jackets,Adam Foote,36.0,D,"Toronto, ON",CA,2008,footead01
Columbus Blue Jackets,Rick Nash,23.0,LW,"Brampton, ON",CA,2008,nashri01
Dallas Stars,Brenden Morrow,29.0,LW,"Carlyle, SK",CA,2008,morrobr01
Detroit Red Wings,Nicklas Lidstrom,37.0,D,Vasteras,SE,2008,lidstni01
Edmonton Oilers,Ethan Moreau,32.0,LW,"Huntsville, ON",CA,2008,moreaet01
Florida Panthers,Olli Jokinen,29.0,C,Kuopio,FI,2008,jokinol01
Los Angeles Kings,Rob Blake,38.0,D,"Simcoe, ON",CA,2008,blakero01
Minnesota Wild,Pavol Demitra,33.0,LW,Dubnica,CS,2008,demitpa01
Minnesota Wild,Marian Gaborik,25.0,RW,Trencin,CS,2008,gaborma01
Minnesota Wild,Mark Parrish,30.0,RW,"Bloomington, MN",US,2008,parrima01
Minnesota Wild,Brian Rolston,34.0,C,"Flint, MI",US,2008,rolstbr01
Minnesota Wild,Nick Schultz,25.0,D,"Strasbourg, SK",CA,2008,schulni01
Montreal Canadiens,Saku Koivu,33.0,C,Turku,FI,2008,koivusa01
Nashville Predators,Jason Arnott,33.0,C,"Collingwood, ON",CA,2008,arnotja01
New Jersey Devils,Patrik Elias,31.0,LW,Trebic,CS,2008,eliaspa01
New Jersey Devils,Jamie Langenbrunner,32.0,RW,"Cloquet, MN",US,2008,langeja01
New York Islanders,Bill Guerin,37.0,RW,"Worcester, MA",US,2008,gueribi01
New York Rangers,Jaromir Jagr,35.0,RW,Kladno,CS,2008,jagrja01
Ottawa Senators,Daniel Alfredsson,35.0,RW,Gothenburg,SE,2008,alfreda01
Philadelphia Flyers,Jason Smith,34.0,D,"Calgary, AB",CA,2008,smithja01
Phoenix Coyotes,Shane Doan,31.0,RW,"Halkirk, AB",CA,2008,doansh01
Pittsburgh Penguins,Sidney Crosby,20.0,C,"Cole Harbour, NS",CA,2008,crosbsi01
San Jose Sharks,Patrick Marleau,28.0,C,"Aneroid, SK",CA,2008,marlepa01
St. Louis Blues,Eric Brewer,28.0,D,"Vernon, BC",CA,2008,breweer01
Tampa Bay Lightning,Tim Taylor,38.0,C,"Stratford, ON",CA,2008,tayloti01
Toronto Maple Leafs,Mats Sundin,36.0,C,Bromma,SE,2008,sundima01
Vancouver Canucks,Markus Naslund,34.0,LW,Ornskoldsvik,SE,2008,nasluma02
Washington Capitals,Chris Clark,31.0,RW,"South Windsor, CT",US,2008,clarkch01
Anaheim Ducks,Scott Niedermayer,33.0,D,"Edmonton, AB",CA,2007,niedesc01
Atlanta Thrashers,Scott Mellanby,40.0,RW,"Montreal, QC",CA,2007,mellasc01
Boston Bruins,Zdeno Chara,29.0,D,Trencin,CS,2007,charazd01
Buffalo Sabres,Daniel Briere,29.0,C,"Gatineau, QC",CA,2007,brierda01
Buffalo Sabres,Chris Drury,30.0,C,"Trumbull, CT",US,2007,drurych01
Calgary Flames,Jarome Iginla,29.0,RW,"Edmonton, AB",CA,2007,iginlja01
Carolina Hurricanes,Rod Brind'Amour,36.0,C,"Ottawa, ON",CA,2007,brindro01
Chicago Blackhawks,Adrian Aucoin,33.0,D,"Ottawa, ON",CA,2007,aucoiad01
Chicago Blackhawks,Martin Lapointe,33.0,RW,"Ville St-Pierre, QC",CA,2007,lapoima01
Colorado Avalanche,Joe Sakic,37.0,C,"Burnaby, BC",CA,2007,sakicjo01
Columbus Blue Jackets,Adam Foote,35.0,D,"Toronto, ON",CA,2007,footead01
Dallas Stars,Brenden Morrow,28.0,LW,"Carlyle, SK",CA,2007,morrobr01
Detroit Red Wings,Nicklas Lidstrom,36.0,D,Vasteras,SE,2007,lidstni01
Edmonton Oilers,Jason Smith,33.0,D,"Calgary, AB",CA,2007,smithja01
Florida Panthers,Olli Jokinen,28.0,C,Kuopio,FI,2007,jokinol01
Los Angeles Kings,Mattias Norstrom,35.0,D,Stockholm,SE,2007,norstma01
Minnesota Wild,Keith Carney,36.0,D,"Providence, RI",US,2007,carneke01
Minnesota Wild,Mark Parrish,29.0,RW,"Bloomington, MN",US,2007,parrima01
Minnesota Wild,Brian Rolston,33.0,C,"Flint, MI",US,2007,rolstbr01
Montreal Canadiens,Saku Koivu,32.0,C,Turku,FI,2007,koivusa01
Nashville Predators,Kimmo Timonen,31.0,D,Kuopio,FI,2007,timonki01
New Jersey Devils,Patrik Elias,30.0,LW,Trebic,CS,2007,eliaspa01
New York Islanders,Alexei Yashin,33.0,C,Sverdlovsk,SU,2007,yashial01
New York Rangers,Jaromir Jagr,34.0,RW,Kladno,CS,2007,jagrja01
Ottawa Senators,Daniel Alfredsson,34.0,RW,Gothenburg,SE,2007,alfreda01
Philadelphia Flyers,Peter Forsberg,33.0,C,Ornskoldsvik,SE,2007,forsbpe01
Phoenix Coyotes,Shane Doan,30.0,RW,"Halkirk, AB",CA,2007,doansh01
Pittsburgh Penguins,No Captain,,,,,2007,
San Jose Sharks,Patrick Marleau,27.0,C,"Aneroid, SK",CA,2007,marlepa01
St. Louis Blues,Dallas Drake,37.0,RW,"Trail, BC",CA,2007,drakeda01
Tampa Bay Lightning,Tim Taylor,37.0,C,"Stratford, ON",CA,2007,tayloti01
Toronto Maple Leafs,Mats Sundin,35.0,C,Bromma,SE,2007,sundima01
Vancouver Canucks,Markus Naslund,33.0,LW,Ornskoldsvik,SE,2007,nasluma02
Washington Capitals,Chris Clark,30.0,RW,"South Windsor, CT",US,2007,clarkch01
Atlanta Thrashers,Scott Mellanby,39.0,RW,"Montreal, QC",CA,2006,mellasc01
Boston Bruins,Joe Thornton,26.0,C,"London, ON",CA,2006,thornjo01
Buffalo Sabres,Daniel Briere,28.0,C,"Gatineau, QC",CA,2006,brierda01
Buffalo Sabres,Chris Drury,29.0,C,"Trumbull, CT",US,2006,drurych01
Calgary Flames,Jarome Iginla,28.0,RW,"Edmonton, AB",CA,2006,iginlja01
Carolina Hurricanes,Rod Brind'Amour,35.0,C,"Ottawa, ON",CA,2006,brindro01
Chicago Blackhawks,Adrian Aucoin,32.0,D,"Ottawa, ON",CA,2006,aucoiad01
Chicago Blackhawks,Martin Lapointe,32.0,RW,"Ville St-Pierre, QC",CA,2006,lapoima01
Colorado Avalanche,Joe Sakic,36.0,C,"Burnaby, BC",CA,2006,sakicjo01
Columbus Blue Jackets,Adam Foote,34.0,D,"Toronto, ON",CA,2006,footead01
Columbus Blue Jackets,Luke Richardson,36.0,D,"Ottawa, ON",CA,2006,richalu01
Dallas Stars,Mike Modano,35.0,C,"Livonia, MI",US,2006,modanmi01
Detroit Red Wings,Steve Yzerman,40.0,C,"Cranbrook, BC",CA,2006,yzermst01
Edmonton Oilers,Jason Smith,32.0,D,"Calgary, AB",CA,2006,smithja01
Florida Panthers,Olli Jokinen,27.0,C,Kuopio,FI,2006,jokinol01
Los Angeles Kings,Mattias Norstrom,34.0,D,Stockholm,SE,2006,norstma01
Mighty Ducks of Anaheim,Scott Niedermayer,32.0,D,"Edmonton, AB",CA,2006,niedesc01
Minnesota Wild,Alex Henry,26.0,D,"Elliot Lake, ON",CA,2006,henryal01
Minnesota Wild,Filip Kuba,29.0,D,Ostrava,CS,2006,kubafi01
Minnesota Wild,Willie Mitchell,28.0,D,"Port McNeill, BC",CA,2006,mitchwi01
Minnesota Wild,Brian Rolston,32.0,C,"Flint, MI",US,2006,rolstbr01
Minnesota Wild,Wes Walz,35.0,C,"Calgary, AB",CA,2006,walzwe01
Montreal Canadiens,Saku Koivu,31.0,C,Turku,FI,2006,koivusa01
Nashville Predators,Greg Johnson,34.0,C,"Thunder Bay, ON",CA,2006,johnsgr02
New Jersey Devils,No Captain,,,,,2006,
New York Islanders,Alexei Yashin,32.0,C,Sverdlovsk,SU,2006,yashial01
New York Rangers,No Captain,,,,,2006,
Ottawa Senators,Daniel Alfredsson,33.0,RW,Gothenburg,SE,2006,alfreda01
Philadelphia Flyers,Derian Hatcher,33.0,D,"Sterling Hts., MI",US,2006,hatchde01
Philadelphia Flyers,Keith Primeau,34.0,C,"Toronto, ON",CA,2006,primeke02
Phoenix Coyotes,Shane Doan,29.0,RW,"Halkirk, AB",CA,2006,doansh01
Pittsburgh Penguins,Mario Lemieux,40.0,C,"Montreal, QC",CA,2006,lemiema01
Pittsburgh Penguins,No Captain,,,,,2006,
San Jose Sharks,Patrick Marleau,26.0,C,"Aneroid, SK",CA,2006,marlepa01
St. Louis Blues,Dallas Drake,36.0,RW,"Trail, BC",CA,2006,drakeda01
Tampa Bay Lightning,Dave Andreychuk,42.0,LW,"Hamilton, ON",CA,2006,andreda01
Tampa Bay Lightning,No Captain,,,,,2006,
Toronto Maple Leafs,Mats Sundin,34.0,C,Bromma,SE,2006,sundima01
Vancouver Canucks,Markus Naslund,32.0,LW,Ornskoldsvik,SE,2006,nasluma02
Washington Capitals,Jeff Halpern,29.0,C,"Washington, DC",US,2006,halpeje01
Atlanta Thrashers,Shawn McEachern,34.0,RW,"Waltham, MA",US,2004,mceacsh01
Boston Bruins,Joe Thornton,24.0,C,"London, ON",CA,2004,thornjo01
Buffalo Sabres,Daniel Briere,26.0,C,"Gatineau, QC",CA,2004,brierda01
Buffalo Sabres,Chris Drury,27.0,C,"Trumbull, CT",US,2004,drurych01
Buffalo Sabres,J.P. Dumont,25.0,RW,"Montreal, QC",CA,2004,dumonjp01
Buffalo Sabres,James Patrick,40.0,D,"Winnipeg, MB",CA,2004,patrija01
Buffalo Sabres,Miroslav Satan,29.0,LW,Topolcany,CS,2004,satanmi01
Calgary Flames,Jarome Iginla,26.0,RW,"Edmonton, AB",CA,2004,iginlja01
Carolina Hurricanes,Ron Francis,40.0,C,"Sault Ste. Marie, ON",CA,2004,francro01
Chicago Blackhawks,Alex Zhamnov,33.0,C,Moscow,SU,2004,zhamnal01
Colorado Avalanche,Joe Sakic,34.0,C,"Burnaby, BC",CA,2004,sakicjo01
Columbus Blue Jackets,Luke Richardson,34.0,D,"Ottawa, ON",CA,2004,richalu01
Dallas Stars,Mike Modano,33.0,C,"Livonia, MI",US,2004,modanmi01
Detroit Red Wings,Steve Yzerman,38.0,C,"Cranbrook, BC",CA,2004,yzermst01
Edmonton Oilers,Jason Smith,30.0,D,"Calgary, AB",CA,2004,smithja01
Florida Panthers,Olli Jokinen,25.0,C,Kuopio,FI,2004,jokinol01
Los Angeles Kings,Mattias Norstrom,32.0,D,Stockholm,SE,2004,norstma01
Mighty Ducks of Anaheim,Steve Rucchin,32.0,C,"Thunder Bay, ON",CA,2004,rucchst01
Minnesota Wild,Brad Bombardir,31.0,D,"Powell River, BC",CA,2004,bombabr01
Minnesota Wild,Brad Brown,28.0,D,"Baie Verte, NL",CA,2004,brownbr01
Minnesota Wild,Andrew Brunette,30.0,LW,"Sudbury, ON",CA,2004,brunean01
Minnesota Wild,Jim Dowd,35.0,C,"Brick, NJ",US,2004,dowdji01
Minnesota Wild,Richard Park,27.0,RW,Seoul,KR,2004,parkri01
Montreal Canadiens,Saku Koivu,29.0,C,Turku,FI,2004,koivusa01
Nashville Predators,Greg Johnson,32.0,C,"Thunder Bay, ON",CA,2004,johnsgr02
New Jersey Devils,Scott Niedermayer,30.0,D,"Edmonton, AB",CA,2004,niedesc01
New Jersey Devils,Scott Stevens,39.0,D,"Kitchener, ON",CA,2004,stevesc01
New York Islanders,Michael Peca,29.0,C,"Toronto, ON",CA,2004,pecami01
New York Rangers,Mark Messier,43.0,LW/C,"Edmonton, AB",CA,2004,messima01
Ottawa Senators,Daniel Alfredsson,31.0,RW,Gothenburg,SE,2004,alfreda01
Philadelphia Flyers,Keith Primeau,32.0,C,"Toronto, ON",CA,2004,primeke02
Phoenix Coyotes,Shane Doan,27.0,RW,"Halkirk, AB",CA,2004,doansh01
Pittsburgh Penguins,Mario Lemieux,38.0,C,"Montreal, QC",CA,2004,lemiema01
San Jose Sharks,Vincent Damphousse,36.0,C/LW,"Montreal, QC",CA,2004,damphvi01
San Jose Sharks,Patrick Marleau,24.0,C,"Aneroid, SK",CA,2004,marlepa01
San Jose Sharks,Alyn McCauley,26.0,C,"Brockville, ON",CA,2004,mccaual01
San Jose Sharks,Mike Ricci,32.0,C,"Scarborough, ON",CA,2004,riccimi01
St. Louis Blues,Al MacInnis,40.0,D,"Inverness, NS",CA,2004,macinal01
Tampa Bay Lightning,Dave Andreychuk,40.0,LW,"Hamilton, ON",CA,2004,andreda01
Toronto Maple Leafs,Mats Sundin,32.0,C,Bromma,SE,2004,sundima01
Vancouver Canucks,Markus Naslund,30.0,LW,Ornskoldsvik,SE,2004,nasluma02
Washington Capitals,Steve Konowalchuk,31.0,LW,"Salt Lake City, UT",US,2004,konowst01
Atlanta Thrashers,No Captain,,,,,2003,
Boston Bruins,Joe Thornton,23.0,C,"London, ON",CA,2003,thornjo01
Buffalo Sabres,Stu Barnes,32.0,C,"Spruce Grove, AB",CA,2003,barnest01
Calgary Flames,Bob Boughner,31.0,D,"Windsor, ON",CA,2003,boughbo01
Calgary Flames,Craig Conroy,31.0,C,"Potsdam, NY",US,2003,conrocr01
Carolina Hurricanes,Ron Francis,39.0,C,"Sault Ste. Marie, ON",CA,2003,francro01
Chicago Blackhawks,Alex Zhamnov,32.0,C,Moscow,SU,2003,zhamnal01
Colorado Avalanche,Joe Sakic,33.0,C,"Burnaby, BC",CA,2003,sakicjo01
Columbus Blue Jackets,Ray Whitney,30.0,LW,"Fort Saskatchewan, AB",CA,2003,whitnra01
Dallas Stars,Derian Hatcher,30.0,D,"Sterling Hts., MI",US,2003,hatchde01
Detroit Red Wings,Steve Yzerman,37.0,C,"Cranbrook, BC",CA,2003,yzermst01
Edmonton Oilers,Jason Smith,29.0,D,"Calgary, AB",CA,2003,smithja01
Florida Panthers,No Captain,,,,,2003,
Los Angeles Kings,Mattias Norstrom,31.0,D,Stockholm,SE,2003,norstma01
Mighty Ducks of Anaheim,Paul Kariya,28.0,LW,"Vancouver, BC",CA,2003,kariypa01
Minnesota Wild,Brad Bombardir,30.0,D,"Powell River, BC",CA,2003,bombabr01
Minnesota Wild,Matt Johnson,27.0,LW,"Welland, ON",CA,2003,johnsma03
Minnesota Wild,Sergei Zholtok,30.0,C,Riga,SU,2003,zholtse01
Montreal Canadiens,Saku Koivu,28.0,C,Turku,FI,2003,koivusa01
Nashville Predators,Greg Johnson,31.0,C,"Thunder Bay, ON",CA,2003,johnsgr02
New Jersey Devils,Scott Stevens,38.0,D,"Kitchener, ON",CA,2003,stevesc01
New York Islanders,Michael Peca,28.0,C,"Toronto, ON",CA,2003,pecami01
New York Rangers,Mark Messier,42.0,LW/C,"Edmonton, AB",CA,2003,messima01
Ottawa Senators,Daniel Alfredsson,30.0,RW,Gothenburg,SE,2003,alfreda01
Philadelphia Flyers,Keith Primeau,31.0,C,"Toronto, ON",CA,2003,primeke02
Phoenix Coyotes,Teppo Numminen,34.0,D,Tampere,FI,2003,nummite01
Pittsburgh Penguins,Mario Lemieux,37.0,C,"Montreal, QC",CA,2003,lemiema01
San Jose Sharks,Owen Nolan,30.0,RW,Belfast,GB,2003,nolanow01
St. Louis Blues,Al MacInnis,39.0,D,"Inverness, NS",CA,2003,macinal01
Tampa Bay Lightning,Dave Andreychuk,39.0,LW,"Hamilton, ON",CA,2003,andreda01
Toronto Maple Leafs,Mats Sundin,31.0,C,Bromma,SE,2003,sundima01
Vancouver Canucks,Markus Naslund,29.0,LW,Ornskoldsvik,SE,2003,nasluma02
Washington Capitals,Steve Konowalchuk,30.0,LW,"Salt Lake City, UT",US,2003,konowst01
Atlanta Thrashers,Ray Ferraro,37.0,C,"Trail, BC",CA,2002,ferrara01
Boston Bruins,No Captain,,,,,2002,
Buffalo Sabres,Stu Barnes,31.0,C,"Spruce Grove, AB",CA,2002,barnest01
Calgary Flames,Bob Boughner,30.0,D,"Windsor, ON",CA,2002,boughbo01
Calgary Flames,Craig Conroy,30.0,C,"Potsdam, NY",US,2002,conrocr01
Calgary Flames,Dave Lowry,36.0,LW,"Sudbury, ON",CA,2002,lowryda01
Carolina Hurricanes,Ron Francis,38.0,C,"Sault Ste. Marie, ON",CA,2002,francro01
Chicago Blackhawks,Tony Amonte,31.0,RW,"Hingham, MA",US,2002,amontto01
Colorado Avalanche,Joe Sakic,32.0,C,"Burnaby, BC",CA,2002,sakicjo01
Columbus Blue Jackets,Lyle Odelein,33.0,D,"Quill Lake, SK",CA,2002,odelely01
Dallas Stars,Derian Hatcher,29.0,D,"Sterling Hts., MI",US,2002,hatchde01
Detroit Red Wings,Steve Yzerman,36.0,C,"Cranbrook, BC",CA,2002,yzermst01
Edmonton Oilers,Jason Smith,28.0,D,"Calgary, AB",CA,2002,smithja01
Florida Panthers,Pavel Bure,30.0,RW,Moscow,SU,2002,burepa01
Los Angeles Kings,Mattias Norstrom,30.0,D,Stockholm,SE,2002,norstma01
Mighty Ducks of Anaheim,Paul Kariya,27.0,LW,"Vancouver, BC",CA,2002,kariypa01
Minnesota Wild,Brad Brown,26.0,D,"Baie Verte, NL",CA,2002,brownbr01
Minnesota Wild,Andrew Brunette,28.0,LW,"Sudbury, ON",CA,2002,brunean01
Minnesota Wild,Jim Dowd,33.0,C,"Brick, NJ",US,2002,dowdji01
Minnesota Wild,Filip Kuba,25.0,D,Ostrava,CS,2002,kubafi01
Montreal Canadiens,Saku Koivu,27.0,C,Turku,FI,2002,koivusa01
Nashville Predators,Tom Fitzgerald,33.0,RW,"Billerica, MA",US,2002,fitzgto01
New Jersey Devils,Scott Stevens,37.0,D,"Kitchener, ON",CA,2002,stevesc01
New York Islanders,Michael Peca,27.0,C,"Toronto, ON",CA,2002,pecami01
New York Rangers,Mark Messier,41.0,LW/C,"Edmonton, AB",CA,2002,messima01
Ottawa Senators,Daniel Alfredsson,29.0,RW,Gothenburg,SE,2002,alfreda01
Philadelphia Flyers,Eric Desjardins,32.0,D,"Rouyn, QC",CA,2002,desjaer01
Philadelphia Flyers,Keith Primeau,30.0,C,"Toronto, ON",CA,2002,primeke02
Phoenix Coyotes,Teppo Numminen,33.0,D,Tampere,FI,2002,nummite01
Pittsburgh Penguins,Mario Lemieux,36.0,C,"Montreal, QC",CA,2002,lemiema01
San Jose Sharks,Owen Nolan,29.0,RW,Belfast,GB,2002,nolanow01
St. Louis Blues,Chris Pronger,27.0,D,"Dryden, ON",CA,2002,prongch01
Tampa Bay Lightning,No Captain,,,,,2002,
Toronto Maple Leafs,Mats Sundin,30.0,C,Bromma,SE,2002,sundima01
Vancouver Canucks,Markus Naslund,28.0,LW,Ornskoldsvik,SE,2002,nasluma02
Washington Capitals,Steve Konowalchuk,29.0,LW,"Salt Lake City, UT",US,2002,konowst01
Washington Capitals,Brendan Witt,26.0,D,"Humboldt, SK",CA,2002,wittbr01
Atlanta Thrashers,Steve Staios,27.0,D,"Hamilton, ON",CA,2001,staiost01
Boston Bruins,Jason Allison,25.0,C,"North York, ON",CA,2001,allisja02
Buffalo Sabres,No Captain,,,,,2001,
Calgary Flames,Dave Lowry,35.0,LW,"Sudbury, ON",CA,2001,lowryda01
Calgary Flames,Steve Smith,37.0,D,Glasgow,GB,2001,smithst05
Carolina Hurricanes,Ron Francis,37.0,C,"Sault Ste. Marie, ON",CA,2001,francro01
Chicago Blackhawks,Tony Amonte,30.0,RW,"Hingham, MA",US,2001,amontto01
Colorado Avalanche,Joe Sakic,31.0,C,"Burnaby, BC",CA,2001,sakicjo01
Columbus Blue Jackets,Lyle Odelein,32.0,D,"Quill Lake, SK",CA,2001,odelely01
Dallas Stars,Derian Hatcher,28.0,D,"Sterling Hts., MI",US,2001,hatchde01
Detroit Red Wings,Steve Yzerman,35.0,C,"Cranbrook, BC",CA,2001,yzermst01
Edmonton Oilers,Doug Weight,30.0,C,"Warren, MI",US,2001,weighdo01
Florida Panthers,Scott Mellanby,34.0,RW,"Montreal, QC",CA,2001,mellasc01
Los Angeles Kings,Rob Blake,31.0,D,"Simcoe, ON",CA,2001,blakero01
Mighty Ducks of Anaheim,Paul Kariya,26.0,LW,"Vancouver, BC",CA,2001,kariypa01
Minnesota Wild,Brad Bombardir,28.0,D,"Powell River, BC",CA,2001,bombabr01
Minnesota Wild,Darby Hendrickson,28.0,C,"Richfield, MN",US,2001,hendrda01
Minnesota Wild,Sean O'Donnell,29.0,D,"Ottawa, ON",CA,2001,odonnse01
Minnesota Wild,Scott Pellerin,31.0,LW,"Shediac, NB",CA,2001,pellesc01
Minnesota Wild,Wes Walz,30.0,C,"Calgary, AB",CA,2001,walzwe01
Montreal Canadiens,Saku Koivu,26.0,C,Turku,FI,2001,koivusa01
Nashville Predators,Tom Fitzgerald,32.0,RW,"Billerica, MA",US,2001,fitzgto01
New Jersey Devils,Scott Stevens,36.0,D,"Kitchener, ON",CA,2001,stevesc01
New York Islanders,Kenny Jonsson,26.0,D,Angelholm,SE,2001,jonsske01
New York Rangers,Mark Messier,40.0,LW/C,"Edmonton, AB",CA,2001,messima01
Ottawa Senators,Daniel Alfredsson,28.0,RW,Gothenburg,SE,2001,alfreda01
Philadelphia Flyers,Eric Desjardins,31.0,D,"Rouyn, QC",CA,2001,desjaer01
Phoenix Coyotes,Keith Tkachuk,28.0,LW,"Melrose, MA",US,2001,tkachke01
Pittsburgh Penguins,Jaromir Jagr,28.0,RW,Kladno,CS,2001,jagrja01
San Jose Sharks,Owen Nolan,28.0,RW,Belfast,GB,2001,nolanow01
St. Louis Blues,Chris Pronger,26.0,D,"Dryden, ON",CA,2001,prongch01
Tampa Bay Lightning,Vincent Lecavalier,20.0,C,"Ile Bizard, QC",CA,2001,lecavvi01
Toronto Maple Leafs,Mats Sundin,29.0,C,Bromma,SE,2001,sundima01
Vancouver Canucks,Markus Naslund,27.0,LW,Ornskoldsvik,SE,2001,nasluma02
Washington Capitals,Adam Oates,38.0,C,"Weston, ON",CA,2001,oatesad01
Atlanta Thrashers,Kelly Buchberger,33.0,RW,"Langenburg, SK",CA,2000,buchbke01
Boston Bruins,Ray Bourque,39.0,D,"Montreal, QC",CA,2000,bourqra01
Buffalo Sabres,Michael Peca,25.0,C,"Toronto, ON",CA,2000,pecami01
Calgary Flames,Steve Smith,36.0,D,Glasgow,GB,2000,smithst05
Carolina Hurricanes,Ron Francis,36.0,C,"Sault Ste. Marie, ON",CA,2000,francro01
Carolina Hurricanes,Keith Primeau,28.0,C,"Toronto, ON",CA,2000,primeke02
Chicago Blackhawks,Doug Gilmour,36.0,C,"Kingston, ON",CA,2000,gilmodo01
Colorado Avalanche,Joe Sakic,30.0,C,"Burnaby, BC",CA,2000,sakicjo01
